| op | config | ms/iter | GB/s | ins/elem | cyc/elem | IPC | L1d-miss% | faults/iter |
|---|---|---|---|---|---|---|---|---|
| sum_axis0 | portable | 1.383 | 24.0 | 4.45 | 1.87 | 2.38 | 9.6 | 13.8 |
| sum_axis1 | portable | 0.449 | 73.6 | 1.51 | 0.61 | 2.46 | 20.9 | 5.5 |
| sum_all | portable | 0.430 | 76.7 | 1.34 | 0.59 | 2.27 | 24.6 | 5.5 |
| sum_axis0 | native | 1.828 | 18.2 | 2.56 | 2.51 | 1.02 | 12.8 | 13.8 |
| sum_axis1 | native | 0.439 | 75.2 | 0.76 | 0.60 | 1.26 | 20.6 | 5.5 |
| sum_all | native | 0.416 | 79.2 | 0.58 | 0.57 | 1.02 | 24.4 | 5.5 |
| min_axis0 | portable | 2.681 | 12.4 | 7.46 | 3.66 | 2.04 | 8.5 | 13.8 |
| min_axis0 | native | 2.085 | 15.9 | 2.90 | 2.84 | 1.02 | 14.4 | 13.8 |
